station_id,station_name
547,Ivanhoe
1344,Alta Lakes
870,Willow Park
935,Jackwhacker Gulch
303,Apishapa
874,Wolf Creek Summit
1033,Zirkel
551,Joe Wright
1030,Arapaho Ridge
970,Jones Pass
322,Bear Lake
556,Kiln
1061,Bear River
564,Lake Eldora
327,Beartown
1041,Beaver Ck Village
565,Lake Irene
335,Berthoud Summit
580,Lily Pond
345,Bison Lake
586,Lizard Head Pass
1185,Black Mesa
589,Lone Cone
1161,Black Mountain
1123,Long Draw Resv
369,Brumley
940,Lost Dog
938,Buckskin Joe
602,Loveland Basin
913,Buffalo Park
607,Lynx Pass
378,Burro Mountain
905,Mancos
380,Butte
618,Mc Clure Pass
387,Cascade 2
1040,Mccoy Park
1326,Castle Peak
914,Medano Pass
1101,Chapman Tunnel
1059,Cochetopa Pass
622,Mesa Lakes
937,Michigan Creek
408,Columbine
624,Middle Creek
409,Columbine Pass
1014,Middle Fork Camp
904,Columbus Basin
629,Mineral Creek
412,Copeland Lake
632,Molas Lake
1124,Moon Pass
415,Copper Mountain
426,Crosho
658,Nast Lake
1031,Never Summer
430,Culebra 2
663,Niwot
431,Cumbres Trestle
669,North Lost Trail
438,Deadman Hill
675,Overland Res
457,Dry Lake
680,Park Cone
936,Echo Lake
682,Park Reservoir
465,El Diente Peak
688,Phantom Valley
467,Elk River
1252,Elkhead Divide
1120,Elliot Ridge
701,Porphyry Creek
1325,Elwood Pass
1186,Fool Creek
709,Rabbit Ears
1324,Rat Creek
485,Fremont Pass
1032,Rawah
1057,Glen Cove
713,Red Mountain Pass
1058,Grayback
717,Ripple Creek
505,Grizzly Peak
718,Roach
1102,Hayden Pass
939,Rough And Tumble
1187,High Lonesome
1100,Saint Elmo
531,Hoosier Pass
1128,Sargents Mesa
1251,Sawtooth
1122,Hourglass Lake
737,Schofield Pass
538,Idarado
739,Scotch Creek
542,Independence Pass
1060,Sharkstooth
762,Slumgullion
773,South Colony
780,Spud Mountain
793,Stillwater Creek
797,Stump Lakes
802,Summit Ranch
825,Tower
827,Trapper Lake
829,Trinchera
838,University Camp
839,Upper Rio Grande
840,Upper San Juan
1141,Upper Taylor
1005,Ute Creek
842,Vail Mountain
843,Vallecito
1188,Wager Gulch
1160,Weminuche Creek
857,Whiskey Ck
1042,Wild Basin
869,Willow Creek Pass
