year,month,pdo
2008,6,-1.56
2008,7,-1.59
2008,8,-1.16
2008,9,-1.19
2008,10,-1.25
2008,11,-1.04
2008,12,-0.77
2009,1,-1.38
2009,2,-1.58
2009,3,-1.77
2009,4,-1.81
2009,5,-1.19
2009,6,-0.37
2009,7,-0.2
2009,8,0.21
2009,9,0.98
2009,10,0.43
2009,11,-0.41
2009,12,-0.34
2010,1,0.26
2010,2,0.39
2010,3,-0.04
2010,4,0.01
2010,5,-0.27
2010,6,-0.77
2010,7,-1.5
2010,8,-1.65
2010,9,-1.67
2010,10,-0.98
2010,11,-1.06
2010,12,-1.61
2011,1,-1.48
2011,2,-1.22
2011,3,-0.94
2011,4,-0.87
2011,5,-0.86
2011,6,-0.93
2011,7,-1.91
2011,8,-1.88
2011,9,-1.84
2011,10,-1.25
2011,11,-2.3
2011,12,-2.02
2012,1,-1.57
2012,2,-1.09
2012,3,-1.34
2012,4,-0.61
2012,5,-1.76
2012,6,-1.27
2012,7,-1.88
2012,8,-2.05
2012,9,-2.35
2012,10,-0.56
2012,11,-0.12
2012,12,-0.74
2013,1,-0.63
2013,2,-1.1
2013,3,-1.09
2013,4,-0.59
2013,5,-0.33
2013,6,-1.08
2013,7,-1.09
2013,8,-0.97
2013,9,-0.38
2013,10,-1.16
2013,11,-0.52
2013,12,-0.72
2014,1,-0.1
2014,2,-0.05
2014,3,0.57
2014,4,0.63
2014,5,1.39
2014,6,-0.12
2014,7,0.59
2014,8,0.71
2014,9,1.1
2014,10,1.76
2014,11,1.73
2014,12,2.04
2015,1,1.82
2015,2,1.75
2015,3,1.57
2015,4,1.1
2015,5,0.4
2015,6,1.06
2015,7,1.65
2015,8,1.5
2015,9,1.6
2015,10,1.36
2015,11,0.64
2015,12,0.69
2016,1,1.04
2016,2,1.48
2016,3,1.7
2016,4,1.73
2016,5,1.61
2016,6,1.01
2016,7,0.77
2016,8,-0.27
2016,9,-0.27
2016,10,0.13
2016,11,1.38
2016,12,0.51
2017,1,-0.04
2017,2,0.24
2017,3,0.31
2017,4,0.75
2017,5,0.23
2017,6,0.38
2017,7,-0.25
2017,8,-0.17
2017,9,0.37
2017,10,-0.09
2017,11,-0.15
2017,12,0.32
2018,1,0.25
2018,2,0.0
2018,3,-0.75
2018,4,-0.45
2018,5,-0.47
2018,6,-0.71
2018,7,-0.33
2018,8,0.01
2018,9,-0.03
2018,10,-0.05
2018,11,-0.05
2018,12,0.27
2019,1,-0.1
2019,2,-0.15
2019,3,-0.09
2019,4,0.25
2019,5,0.29
2019,6,0.18
2019,7,0.52
2019,8,0.37
2019,9,0.44
2019,10,-0.72
2019,11,-0.09
2019,12,0.35
2020,1,-0.79
2020,2,-1.12
2020,3,-1.68
2020,4,-1.32
2020,5,-0.68
2020,6,-0.86
2020,7,-0.77
2020,8,-0.85
2020,9,-0.75
2020,10,-0.29
2020,11,-1.23
2020,12,-0.92
2021,1,-0.73
2021,2,-1.29
2021,3,-1.7
2021,4,-1.77
2021,5,-2.33
2021,6,-1.89
2021,7,-1.93
2021,8,-0.84
2021,9,-1.7
2021,10,-2.69
2021,11,-2.37
2021,12,-2.47
2022,1,-2.22
2022,2,-1.72
2022,3,-1.63
2022,4,-2.19
2022,5,-2.43
2022,6,-1.42
2022,7,-2.44
2022,8,-1.78
2022,9,-1.78
2022,10,-1.48
2022,11,-1.83
2022,12,-1.85
2023,1,-1.24
2023,2,-1.79
2023,3,-2.5
2023,4,-3.13
2023,5,-2.46
2023,6,-2.67
2023,7,-2.44
2023,8,-2.02
2023,9,-2.52
2023,10,-1.88
2023,11,-1.16
2023,12,-1.2
2024,1,-1.48
2024,2,-1.33
2024,3,-1.27
2024,4,-1.99
2024,5,-3.01
2024,6,-2.93
2024,7,-2.62
2024,8,-2.37
2024,9,-3.1
2024,10,-3.24
2024,11,-2.58
2024,12,-1.57
2025,1,-0.97
2025,2,-1.2
2025,3,-0.81
2025,4,-1.07
2025,5,-1.84
2025,6,-2.62
2025,7,-3.83
2025,8,-2.54
2025,9,-1.71
2025,10,-1.82
2025,11,-1.02
2025,12,-0.39
2026,1,-0.87
2026,2,-0.79
2026,3,-1.2
